TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2024-10-15,2024-10-15,CM,BSE,STK,540953,INE923Y01023,KENVI,B,,,,,Kenvi Jewels Limited,5.48,5.48,5.28,5.30,5.28,5.32,,5.30,,,240919,1285028.00,340,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,540954,INE586E01020,IWP,X,,,,,The Indian Wood Products Co. L,33.84,35.00,33.84,34.26,34.26,34.18,,34.26,,,19032,655868.00,177,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,540955,INE773Y01014,TDSL,B,,,,,Tasty Dairy Specialities Limit,13.11,13.49,12.99,13.02,13.05,13.19,,13.02,,,20893,274900.00,191,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,540956,INE341Z01025,BHATIA,T,,,,,Bhatia Communications & Retail,30.49,31.67,29.86,30.35,30.00,30.17,,30.35,,,147430,4566750.00,540,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,540961,INE644Y01017,SHIVAMILLS,B,,,,,Shiva Mills Limited,90.59,98.38,90.59,96.20,96.20,90.02,,96.00,,,1462,140638.00,67,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,540975,INE914M01019,ASTERDM,A,,,,,Aster DM Healthcare Limited,415.00,428.40,415.00,425.75,423.25,416.60,,425.90,,,28053,11858248.00,952,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,540980,INE868X01014,YSL,X,,,,,The Yamuna Syndicate Ltd,50102.00,50102.00,48700.00,48700.00,48700.00,50102.00,,48700.00,,,11,548699.00,9,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,541005,INE398L01017,KANCOTEA,X,,,,,KANCO TEA & INDUSTRIES LIMITED,92.80,98.88,92.61,94.04,94.04,91.48,,94.04,,,17188,1639309.00,165,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,541019,INE926X01010,HGINFRA,A,,,,,H.G. Infra Engineering Limited,1488.95,1488.95,1460.00,1478.65,1480.75,1473.50,,1477.95,,,5367,7867283.00,809,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,541083,INE464Z01017,INFLAME,M,,,,,Inflame Appliances Limited,407.70,411.00,393.40,402.00,402.00,407.65,,402.00,,,6000,2431012.00,22,F1,250,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,541096,INE365Y01019,BPLPHARMA,X,,,,,Bharat Parenterals Limited,1456.00,1480.00,1390.00,1473.50,1480.00,1417.75,,1473.50,,,2927,4148631.00,86,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,541097,INF740KA1EU7,LIQUIDETF,F,,,,,DSP BlackRock Mutual Fund,999.99,1000.01,999.99,1000.00,1000.00,1000.00,,1000.00,,,11389,11388961.00,35,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,541143,INE171Z01026,BDL,A,,,,,Bharat Dynamics Limited,1198.95,1215.00,1170.50,1203.30,1203.30,1188.80,,1203.95,,,42905,51353295.00,2534,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,541144,INE380Z01015,ACTIVE,B,,,,,Active Clothing Co  Limited,113.71,129.97,108.50,114.25,114.25,108.31,,114.25,,,1181480,145381354.00,4705,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,541152,INE705X01026,GOYALALUM,B,,,,,GOYAL ALUMINIUMS LIMITED,9.74,10.04,9.67,9.86,9.88,9.86,,9.85,,,55804,548690.00,361,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,541153,INE545U01014,BANDHANBNK,A,,,,,Bandhan Bank Limited,201.05,201.55,193.85,194.30,194.30,199.90,,194.35,,,677186,132751560.00,6000,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,541154,INE066F01020,HAL,A,,,,,Hindustan Aeronautics Limited,4525.00,4597.85,4501.00,4572.40,4572.40,4506.80,,4575.35,,,58214,265782586.00,6429,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,541161,INE278R01034,KBCGLOBAL,B,,,,,KBC GLOBAL LIMITED,2.29,2.37,2.25,2.35,2.35,2.31,,2.35,,,15267597,35575534.00,1601,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,541163,INE278H01035,SANDHAR,B,,,,,Sandhar Technologies Limited,571.30,586.20,567.35,569.25,569.80,567.80,,568.95,,,2680,1533577.00,306,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,541167,INE616Z01012,YASHO,B,,,,,YASHO INDUSTRIES LIMITED,1986.30,2021.40,1963.20,1991.10,1965.00,1986.30,,1972.55,,,1577,3145269.00,329,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,541178,INE495Z01011,BENARA,M,,,,,Benara Bearings and Pistons Li,16.00,16.00,16.00,16.00,16.00,15.76,,16.00,,,2000,32000.00,1,F1,2000,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,541179,INE763G01038,ISEC,A,,,,,ICICI Securities Limited,830.05,852.85,830.00,846.75,849.90,830.50,,847.45,,,15959,13497881.00,577,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,541195,INE099Z01011,MIDHANI,A,,,,,Mishra Dhatu Nigam Limited,376.55,381.15,371.55,373.20,373.20,375.35,,372.55,,,19203,7241192.00,813,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,541196,INE860Y01019,LEX,MT,,,,,Lex Nimble Solutions Limited,76.00,76.00,76.00,76.00,76.00,80.00,,76.00,,,2000,152000.00,1,F1,2000,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,541206,INE426Z01016,OBCL,B,,,,,Orissa Bengal Carrier Limited,56.72,58.60,56.53,58.18,58.18,56.68,,57.94,,,2757,159105.00,52,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,541228,INE459Z01017,TRL,B,,,,,Taylormade Renewables Limited,469.00,476.45,460.00,461.50,460.50,465.60,,461.50,,,11727,5443085.00,399,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,541233,INE970X01018,LEMONTREE,A,,,,,Lemon Tree Hotels Limited,127.35,127.35,125.40,126.45,126.35,126.90,,126.50,,,57293,7223930.00,618,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,541269,INE783X01023,CHEMFAB,B,,,,,Chemfab Alkalis Ltd,1112.10,1226.00,1109.00,1174.00,1175.05,1118.60,,1182.75,,,3338,3954741.00,619,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,541276,INE626Z01029,HARDWYN,B,,,,,HARDWYN INDIA LIMITED,37.90,38.97,37.05,37.16,37.21,38.67,,37.35,,,40322,1513015.00,452,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,541299,INE871Z01013,DLCL,M,,,,,DR LALCHANDANI LABS LIMITED,20.52,20.52,19.11,19.26,19.26,23.41,,19.26,,,44000,875600.00,10,F1,4000,,,,,
